index,элемент,элемент битный,элемент битный алгоритм
doc_49.txt_элемент+битный+алгоритм,,,1.6025052041652988e-07
doc_48.txt_элемент+битный+алгоритм,,,1.1983976933498986e-07
doc_60.txt_элемент+битный+алгоритм,,,1.170533063405684e-07
doc_74.txt_элемент+битный+алгоритм,,,2.2519285430109284e-07
doc_8.txt_элемент+битный+алгоритм,,,1.0823794906052248e-07
doc_58.txt_элемент+битный+алгоритм,,,9.010414363279895e-08
doc_70.txt_элемент+битный+алгоритм,,,2.2011065931866704e-07
doc_64.txt_элемент+битный+алгоритм,,,7.20570450730935e-08
doc_65.txt_элемент+битный+алгоритм,,,6.380398313481149e-08
doc_71.txt_элемент+битный+алгоритм,,,0.0030647676377818715
doc_59.txt_элемент+битный+алгоритм,,,1.7197566062088877e-07
doc_98.txt_элемент+битный+алгоритм,,,7.062569289167244e-08
doc_67.txt_элемент+битный+алгоритм,,,1.3377584872705727e-07
doc_73.txt_элемент+битный+алгоритм,,,1.4182718360116823e-07
doc_72.txt_элемент+битный+алгоритм,,,4.7667775035529066e-07
doc_66.txt_элемент+битный+алгоритм,,,1.3051098559063528e-07
doc_99.txt_элемент+битный+алгоритм,,,9.008843944698722e-08
doc_3.txt_элемент+битный+алгоритм,,,2.830843454304848e-07
doc_80.txt_элемент+битный+алгоритм,,,2.2381698086027052e-07
doc_94.txt_элемент+битный+алгоритм,,,8.081581248655492e-08
doc_43.txt_элемент+битный+алгоритм,,,1.2320987069900733e-07
doc_57.txt_элемент+битный+алгоритм,,,5.770092683706466e-07
doc_56.txt_элемент+битный+алгоритм,,,7.550698956389505e-08
doc_42.txt_элемент+битный+алгоритм,,,8.638685817042183e-08
doc_95.txt_элемент+битный+алгоритм,,,4.6269843014225835e-08
doc_81.txt_элемент+битный+алгоритм,,,1.8385685369580773e-07
doc_2.txt_элемент+битный+алгоритм,,,0.008606136012016883
doc_97.txt_элемент+битный+алгоритм,,,1.395887608342897e-07
doc_83.txt_элемент+битный+алгоритм,,,0.004477029855310529
doc_54.txt_элемент+битный+алгоритм,,,1.4156524286024215e-07
doc_40.txt_элемент+битный+алгоритм,,,7.826603692724656e-08
doc_68.txt_элемент+битный+алгоритм,,,1.7041597446147898e-07
doc_69.txt_элемент+битный+алгоритм,,,1.1361158280701022e-07
doc_41.txt_элемент+битный+алгоритм,,,1.8213970218972497e-07
doc_55.txt_элемент+битный+алгоритм,,,1.1137616518061222e-07
doc_82.txt_элемент+битный+алгоритм,,,4.421365049358805e-08
doc_96.txt_элемент+битный+алгоритм,,,0.0013206647832682474
doc_1.txt_элемент+битный+алгоритм,,,0.04413708669627183
doc_5.txt_элемент+битный+алгоритм,,,1.6504190658696538e-07
doc_92.txt_элемент+битный+алгоритм,,,1.4452083628901967e-07
doc_86.txt_элемент+битный+алгоритм,,,2.1037253079401662e-07
doc_79.txt_элемент+битный+алгоритм,,,1.31706756148732e-07
doc_51.txt_элемент+битный+алгоритм,,,1.2008974115598445e-07
doc_45.txt_элемент+битный+алгоритм,,,1.7755932264526955e-07
doc_44.txt_элемент+битный+алгоритм,,,0.0011895498155626695
doc_50.txt_элемент+битный+алгоритм,,,5.790468690953913e-08
doc_78.txt_элемент+битный+алгоритм,,,1.301715627034468e-07
doc_87.txt_элемент+битный+алгоритм,,,2.3427416577967002e-07
doc_93.txt_элемент+битный+алгоритм,,,2.0978963252499985e-07
doc_4.txt_элемент+битный+алгоритм,,,7.709729573308619e-07
doc_6.txt_элемент+битный+алгоритм,,,1.0846864386497924e-07
doc_85.txt_элемент+битный+алгоритм,,,1.372724102830359e-07
doc_91.txt_элемент+битный+алгоритм,,,9.090563051184594e-08
doc_46.txt_элемент+битный+алгоритм,,,7.280795249034785e-08
doc_52.txt_элемент+битный+алгоритм,,,2.3171350318828344e-07
doc_53.txt_элемент+битный+алгоритм,,,1.1035410817172605e-07
doc_47.txt_элемент+битный+алгоритм,,,2.406267246488433e-07
doc_90.txt_элемент+битный+алгоритм,,,1.6522066307234034e-07
doc_84.txt_элемент+битный+алгоритм,,,1.8056490884395789e-07
doc_7.txt_элемент+битный+алгоритм,,,1.8097133583143868e-07
doc_20.txt_элемент+битный+алгоритм,,,0.0
doc_34.txt_элемент+битный+алгоритм,,,2.3438959740584834e-07
doc_35.txt_элемент+битный+алгоритм,,,1.1342300035638993e-07
doc_21.txt_элемент+битный+алгоритм,,,1.6342384181738465e-07
doc_37.txt_элемент+битный+алгоритм,,,1.7151868376362308e-07
doc_23.txt_элемент+битный+алгоритм,,,5.390659645417309e-08
doc_22.txt_элемент+битный+алгоритм,,,5.484476848676651e-08
doc_36.txt_элемент+битный+алгоритм,,,1.2307212677680114e-07
doc_32.txt_элемент+битный+алгоритм,,,4.324997564794469e-08
doc_26.txt_элемент+битный+алгоритм,,,1.521050206745529e-07
doc_27.txt_элемент+битный+алгоритм,,,2.86704662683605e-07
doc_33.txt_элемент+битный+алгоритм,,,2.833862938220463e-07
doc_19.txt_элемент+битный+алгоритм,,,0.005141014891417734
doc_25.txt_элемент+битный+алгоритм,,,5.57754532150223e-08
doc_31.txt_элемент+битный+алгоритм,,,2.488099174719836e-07
doc_30.txt_элемент+битный+алгоритм,,,2.0833555382686564e-07
doc_24.txt_элемент+битный+алгоритм,,,2.062839373770633e-07
doc_18.txt_элемент+битный+алгоритм,,,1.2365202059283025e-07
